epoch,train_loss,val_loss,loss,accuracy,precision,recall,f1,roc_auc
1,0.9238906059509668,0.6969918211301168,0.6969918211301168,0.4981132075471698,0.5,0.12030075187969924,0.19393939393939394,0.6023012075643653
2,0.8051760976131146,0.6575931641790602,0.6575931641790602,0.6075471698113207,1.0,0.21804511278195488,0.35802469135802467,0.801948051948052
3,0.7328561620834546,0.5842301713095771,0.5842301713095771,0.7056603773584905,0.9508196721311475,0.43609022556390975,0.5979381443298969,0.8439849624060151
4,0.6936442469939207,0.550570527712504,0.550570527712504,0.7245283018867924,0.9545454545454546,0.47368421052631576,0.6331658291457286,0.8722374117110959
5,0.6384223370979993,0.5076841182178922,0.5076841182178922,0.7584905660377359,0.9367088607594937,0.556390977443609,0.6981132075471698,0.8859079516974252
6,0.6031410205058563,0.47489840454525417,0.47489840454525417,0.7811320754716982,0.9310344827586207,0.6090225563909775,0.7363636363636363,0.9008316245158351
7,0.5732138714729211,0.4548144539197286,0.4548144539197286,0.8037735849056604,0.9354838709677419,0.6541353383458647,0.7699115044247787,0.9097744360902255
8,0.5415984055934808,0.4319195979171329,0.4319195979171329,0.8113207547169812,0.9368421052631579,0.6691729323308271,0.7807017543859649,0.9182046024151287
9,0.5124796644235269,0.4146661427285936,0.4146661427285936,0.8264150943396227,0.9393939393939394,0.6992481203007519,0.8017241379310345,0.922989291410344
10,0.48727915378717274,0.39695390396647984,0.39695390396647984,0.8452830188679246,0.9423076923076923,0.7368421052631579,0.8270042194092827,0.9304511278195489
